timestamp,cpu_percent,mem_usage_mb,mem_limit_gb,mem_percent,net_in_mb,net_out_mb,block_in_mb,block_out_mb
1759875807,4.22,416.80,7.43,5.47,8.52,19.60,27.00,9.92
1759875814,2.42,416.30,7.43,5.47,8.54,21.70,27.00,9.92
1759875821,93.48,416.80,7.43,5.48,8.57,21.70,27.00,10.80
