timestamp,cpu_percent,mem_usage_mb,mem_limit_gb,mem_percent,net_in_mb,net_out_mb,block_in_mb,block_out_mb
1759478000,2.24,492.40,7.43,6.47,48.30,162.00,668.00,59.20
1759478007,1.76,491.90,7.43,6.46,48.40,164.00,668.00,59.20
1759478013,36.28,492.80,7.43,6.47,48.40,164.00,668.00,59.20
