timestamp,cpu_percent,mem_usage_mb,mem_limit_gb,mem_percent,net_in_mb,net_out_mb,block_in_mb,block_out_mb
1759450658,23.83,415.90,7.43,5.46,16.30,42.30,668.00,19.90
1759450665,3.04,415.70,7.43,5.46,16.40,44.40,668.00,19.90
1759450672,198.37,486.60,7.43,6.39,16.40,44.40,668.00,19.90
