timestamp,cpu_percent,mem_usage_mb,mem_limit_gb,mem_percent,net_in_mb,net_out_mb,block_in_mb,block_out_mb
1759875618,16.29,408.20,7.43,5.36,1.88,2.37,27.00,2.53
1759875625,5.00,407.30,7.43,5.35,1.90,4.56,27.00,3.38
1759875632,2.94,408.70,7.43,5.37,1.93,4.57,27.00,3.39
